status,last_touch,next_touch,priority,prospect,offer,contact_route,public_source,price_quoted,personalized_opening,notes
ready_to_send,,today,1,Tighten Up Apparel,ReturnReply Pro,info@tuapparel.com,https://tighten-up-apparel.myshopify.com/pages/contact-us,149,"I noticed your store already exposes customer-service and delivery questions, so returns/exchanges are likely a repeat support workflow.",Apparel store with public contact and FAQ/shipping context
ready_to_send,,today,2,1234 Apparel & Wood,ReturnReply Pro,orders1234clothing@gmail.com,https://1234apparelandwood.com/pages/customer-service,149,Your customer-service page suggests order questions are already centralized; I can turn return rows into a reply queue.,Shopify apparel seller with public customer-service page
ready_to_send,,today,3,Shop Elan,ReturnReply Pro,info@shopelan.com,https://primo-golf-apparel.myshopify.com/apps/redo/returns-portal,149,I saw your returns portal; I can help convert return reasons into reply templates and store-credit paths.,Returns portal with explicit contact route
ready_to_send,,today,4,Shogun Fight Apparel,ReturnReply Pro,contact form,https://www.shogunfight.com/pages/contact-us,149,"Your footer has return/refund policy and sizing links, which are good signals for a return-reply cleanup pass.",Apparel store with contact and return/refund policy links
ready_to_send,,today,5,Custom Apparel by Dana,InvoiceNudge,dana@customapparelbydana.com,https://fca309-86.myshopify.com/pages/contact,99,Custom orders often create manual follow-up; I can turn open order or invoice rows into polite reminders.,Custom apparel seller with direct contact route
ready_to_send,,today,6,Phyre Apparel Store,ReturnReply Pro,sales@phyreapparel.com.au,https://phyre-apparel-store.myshopify.com/pages/returns-policy,149,Your returns policy already handles missing refunds and customer follow-up; I can package reply templates from real cases.,Returns policy page with public support email
ready_to_send,,today,7,Felicite Apparel,AltText Cataloger,support@feliciteapparel.com,https://feliciteapparel.com/pages/contact-us,199,I can run a 100-image alt-text pass for product images and return a clean CSV your team can upload.,Fashion/apparel ecommerce brand with public contact
ready_to_send,,today,8,C1 Apparel,ReturnReply Pro,contact form,https://c1apparelshop.com/pages/returns-and-exchanges,149,Your returns page already documents the workflow; I can turn return cases into a decision and reply queue.,Apparel store with returns and exchanges instructions
ready_to_send,,today,9,David Dunleavy Apparel,ReturnReply Pro,contact form,https://dunleavyapparel.myshopify.com/pages/returns-and-exchanges,149,Your exchange/credit policy is a good fit for store-credit reply templates and triage rules.,Apparel store with exchange/credit policy
ready_to_send,,today,10,DTC Outlet,ReturnReply Pro,contact form,https://dtcoutlet.com/pages/returns-exchanges,149,I noticed the 60-day return window; a return queue pass can standardize reply handling and exchange paths.,DTC-branded store with 60-day return policy
ready_to_send,,today,11,Dialtune Drums,Chargeback Evidence Kit,hi@dialtunedrums.com,https://dialtune.myshopify.com/policies/refund-policy,249,I can organize one dispute or refund issue into a clean evidence checklist and customer-contact note.,Physical product merchant with return/RMA language
ready_to_send,,today,12,The Plant Ecologist,InvoiceNudge,theplantecologist@gmail.com,https://theplantecologist.myshopify.com/policies/refund-policy,99,"For small shops, invoice/order follow-up often stays manual; I can build a weekly nudge queue from rows.",Small Shopify seller with public contact route
ready_to_send,,today,13,Lone Star Feed Apparel,ReturnReply Pro,contact form,https://lonestarfeedapparel.com/pages/lone-star-feed-apparel-replacement-or-returns-policy,149,Your policy includes replacement and exchange cases; I can turn those rules into reusable customer replies.,Apparel replacement/returns policy with exchange exceptions
ready_to_send,,today,14,Graceful Grit Apparel,ReturnReply Pro,contact form,https://gracefulgrit.org/pages/contact,149,Exception-based return policies are a good fit for consistent support replies and approval notes.,Apparel store with no-return/refund exception language
ready_to_send,,today,15,Hudson O'Neal Apparel,ReturnReply Pro,hudsononealracing71@gmail.com,https://racing71-store.myshopify.com/pages/return-exchange-policy,149,Your policy already asks customers to email for service requests; I can build a reply pack for common cases.,Apparel store with return/exchange policy and support email
ready_to_send,,today,16,838 Apparel,AltText Cataloger,contact form,https://838apparel.com/pages/contact,199,I can create a 100-product-image alt-text CSV and flag gaps before the next collection update.,Apparel ecommerce store with product-image likely catalog
