"rank","tier","score","prospect","segment","website","contact_route","platform","monthly_sends","reason","next_step"
"1","A","100","AgencyOps Letter","newsletter","https://agencyops.example","newsletter reply","Beehiiv","27000","newsletter buyer has direct deliverability pain; meaningful monthly send volume; client or outbound sender-risk signal; newsletter revenue signal; known email platform; near-campaign timing hook","send first-touch audit pitch"
"2","A","96","LaunchLayer","agency","https://launchlayer.example","contact form","Klaviyo","19500","agency buyer has direct deliverability pain; meaningful monthly send volume; client or outbound sender-risk signal; known email platform; near-campaign timing hook","send first-touch audit pitch"
"3","A","95","Inbox Pilot Agency","agency","https://inboxpilot.example","contact form","HubSpot","47000","agency buyer has direct deliverability pain; high monthly send volume; client or outbound sender-risk signal; known email platform","send first-touch audit pitch"
"4","A","94","Founder Notes Weekly","newsletter","https://foundernotes.example","newsletter reply","ConvertKit","18000","newsletter buyer has direct deliverability pain; meaningful monthly send volume; newsletter revenue signal; known email platform; near-campaign timing hook","send first-touch audit pitch"
"5","A","94","LegalOps Digest","newsletter","https://legalopsdigest.example","newsletter reply","Beehiiv","22000","newsletter buyer has direct deliverability pain; meaningful monthly send volume; newsletter revenue signal; known email platform; near-campaign timing hook","send first-touch audit pitch"
"6","A","89","Studio MKT","agency","https://studiomkt.example","contact form","Mailchimp","28500","agency buyer has direct deliverability pain; meaningful monthly send volume; client or outbound sender-risk signal; known email platform","send first-touch audit pitch"
"7","A","87","ColdPath Advisors","outbound","https://coldpath.example","contact form","Instantly","61000","outbound buyer has direct deliverability pain; high monthly send volume; client or outbound sender-risk signal","send first-touch audit pitch"
"8","A","87","Outbound Sprint Co","outbound","https://outboundsprint.example","contact form","Google Workspace","52000","outbound buyer has direct deliverability pain; high monthly send volume; client or outbound sender-risk signal","send first-touch audit pitch"
"9","A","87","ProspectOps Lab","outbound","https://prospectopslab.example","contact form","Apollo","44000","outbound buyer has direct deliverability pain; high monthly send volume; client or outbound sender-risk signal","send first-touch audit pitch"
"10","A","87","RevOps Partners","agency","https://revopspartners.example","contact form","Google Workspace","42000","agency buyer has direct deliverability pain; high monthly send volume; client or outbound sender-risk signal","send first-touch audit pitch"
"11","A","86","HiringOps Weekly","newsletter","https://hiringops.example","newsletter reply","Substack","14500","newsletter buyer has direct deliverability pain; meaningful monthly send volume; newsletter revenue signal; near-campaign timing hook","send first-touch audit pitch"
"12","A","84","BrightCart Studio","ecommerce","https://brightcart.example","contact form","Klaviyo","7550","ecommerce email revenue or lifecycle dependency; enough volume for a quick audit; newsletter revenue signal; known email platform; near-campaign timing hook","send first-touch audit pitch"
"13","A","82","Maker Stack Letter","newsletter","https://makerstack.example","newsletter reply","Ghost","9600","newsletter buyer has direct deliverability pain; enough volume for a quick audit; newsletter revenue signal; near-campaign timing hook","send first-touch audit pitch"
"14","B","81","Pipeline Labs","outbound","https://pipelinelabs.example","contact form","Apollo","36000","outbound buyer has direct deliverability pain; meaningful monthly send volume; client or outbound sender-risk signal","send softer sample-first pitch"
"15","B","78","Atlas Retail Group","ecommerce","https://atlasretail.example","contact form","Klaviyo","20500","ecommerce email revenue or lifecycle dependency; meaningful monthly send volume; known email platform; near-campaign timing hook","send softer sample-first pitch"
"16","B","78","Retail Loop","ecommerce","https://retailloop.example","contact form","Klaviyo","31000","ecommerce email revenue or lifecycle dependency; meaningful monthly send volume; known email platform; near-campaign timing hook","send softer sample-first pitch"
"17","B","74","GreenCart Goods","ecommerce","https://greencart.example","support email","Omnisend","8300","ecommerce email revenue or lifecycle dependency; enough volume for a quick audit; known email platform; near-campaign timing hook","send softer sample-first pitch"
"18","B","74","HealthBox Market","ecommerce","https://healthbox.example","contact form","Omnisend","9100","ecommerce email revenue or lifecycle dependency; enough volume for a quick audit; known email platform; near-campaign timing hook","send softer sample-first pitch"
"19","B","74","Kitchen Table Brands","ecommerce","https://kitchentable.example","contact form","Mailchimp","5600","ecommerce email revenue or lifecycle dependency; enough volume for a quick audit; known email platform; near-campaign timing hook","send softer sample-first pitch"
"20","B","74","Trailhead Supply","ecommerce","https://trailheadsupply.example","support email","Mailchimp","6400","ecommerce email revenue or lifecycle dependency; enough volume for a quick audit; known email platform; near-campaign timing hook","send softer sample-first pitch"
"21","B","71","Northline SaaS","saas","https://northlinesaas.example","contact form","HubSpot","12500","saas email revenue or lifecycle dependency; meaningful monthly send volume; known email platform","send softer sample-first pitch"
"22","B","71","ShipRight SaaS","saas","https://shipright.example","contact form","Customer.io","14800","saas email revenue or lifecycle dependency; meaningful monthly send volume; known email platform","send softer sample-first pitch"
"23","B","71","TinyTeam CRM","saas","https://tinyteamcrm.example","contact form","ActiveCampaign","11800","saas email revenue or lifecycle dependency; meaningful monthly send volume; known email platform","send softer sample-first pitch"
"24","C","67","DemoDay Tools","saas","https://demodaytools.example","contact form","Customer.io","7300","saas email revenue or lifecycle dependency; enough volume for a quick audit; known email platform","enrich or hold"
"25","C","67","QuoteFlow SaaS","saas","https://quoteflow.example","contact form","HubSpot","6700","saas email revenue or lifecycle dependency; enough volume for a quick audit; known email platform","enrich or hold"
